size,count,type,time,algbw,busbw,error,time,algbw,busbw,error
8,1,float,51.70,0.00,0.00,0e+00,50.30,0.00,0.00,0e+00
16,2,float,49.43,0.00,0.00,0e+00,52.01,0.00,0.00,0e+00
32,4,float,50.42,0.00,0.00,0e+00,50.38,0.00,0.00,0e+00
64,8,float,51.69,0.00,0.00,0e+00,51.74,0.00,0.00,0e+00
128,16,float,52.91,0.00,0.00,0e+00,51.70,0.00,0.00,0e+00
256,32,float,54.14,0.00,0.00,0e+00,50.30,0.01,0.00,0e+00
512,64,float,50.27,0.01,0.01,0e+00,51.63,0.01,0.00,0e+00
1024,128,float,54.75,0.02,0.01,0e+00,56.49,0.02,0.01,0e+00
2048,256,float,56.83,0.04,0.02,0e+00,61.37,0.03,0.02,0e+00
4096,512,float,205.6,0.02,0.01,0e+00,113.6,0.04,0.02,0e+00
8192,1024,float,130.2,0.06,0.03,0e+00,202.1,0.04,0.02,0e+00
16384,2048,float,146.1,0.11,0.06,0e+00,149.4,0.11,0.05,0e+00
32768,4096,float,338.7,0.10,0.05,0e+00,339.0,0.10,0.05,0e+00
65536,8192,float,303.0,0.22,0.11,0e+00,368.9,0.18,0.09,0e+00
131072,16384,float,432.0,0.30,0.15,0e+00,357.8,0.37,0.18,0e+00
262144,32768,float,678.0,0.39,0.19,0e+00,628.2,0.42,0.21,0e+00
524288,65536,float,938.8,0.56,0.28,0e+00,952.8,0.55,0.28,0e+00
1048576,131072,float,1530.2,0.69,0.34,0e+00,1578.8,0.66,0.33,0e+00
2097152,262144,float,3074.9,0.68,0.34,0e+00,3182.1,0.66,0.33,0e+00
4194304,524288,float,6366.5,0.66,0.33,0e+00,6468.7,0.65,0.32,0e+00
8388608,1048576,float,12675,0.66,0.33,0e+00,12397,0.68,0.34,0e+00
16777216,2097152,float,25654,0.65,0.33,0e+00,25895,0.65,0.32,0e+00
33554432,4194304,float,50680,0.66,0.33,0e+00,51679,0.65,0.32,0e+00
67108864,8388608,float,101000,0.66,0.33,0e+00,101800,0.66,0.33,0e+00
134217728,16777216,float,205125,0.65,0.33,0e+00,203301,0.66,0.33,0e+00
268435456,33554432,float,404875,0.66,0.33,0e+00,405173,0.66,0.33,0e+00
536870912,67108864,float,807665,0.66,0.33,0e+00,811333,0.66,0.33,0e+00
1073741824,134217728,float,1616686,0.66,0.33,0e+00,1615448,0.66,0.33,0e+00
